Key,M,Lazing,HashFamily,Runs,TimeMean_ms,TimeStd_ms,TimeMedian_ms,IncorrectMean,IncorrectStd,IncorrectRate_%,TimePerOp_us
employee_id,1,False,deterministic,50,4.097851945552975,0.5769590336706368,3.9898994873510674,0.0,0.0,0.0,4.097851945552975
employee_id,1,False,random,50,4.2405619664350525,0.4991945914576679,4.346150031778961,0.0,0.0,0.0,4.2405619664350525
employee_id,1,True,deterministic,50,0.48738405224867165,0.0677507665844796,0.4565000126603991,493.42,14.56595135154276,49.342,0.48738405224867165
employee_id,1,True,random,50,0.7101460068952292,0.18307433143491084,0.643900377326645,490.4,14.501231474799454,49.04,0.7101460068952292
employee_id,10,False,deterministic,50,0.8969879755750299,0.11486876975157548,0.8711492264410481,0.0,0.0,0.0,0.8969879755750299
employee_id,10,False,random,50,1.0212979838252068,0.08243040360891682,1.0014002182288095,0.0,0.0,0.0,1.0212979838252068
employee_id,10,True,deterministic,50,0.4992260574363172,0.08264942663664067,0.4682004073401913,458.4,15.762264418281925,45.84,0.4992260574363172
employee_id,10,True,random,50,0.6584440113510936,0.0998919806237649,0.6292998295975849,457.28,19.571991649877063,45.728,0.6584440113510936
employee_id,100,False,deterministic,50,0.5879080150043592,0.11950406830729346,0.5526500608539209,0.0,0.0,0.0,0.5879080150043592
employee_id,100,False,random,50,0.7008120219688863,0.07207435440077653,0.681950303260237,0.0,0.0,0.0,0.7008120219688863
employee_id,100,True,deterministic,50,0.483242038753815,0.07695982489901179,0.46305006253533065,285.86,14.172422200188937,28.586,0.483242038753815
employee_id,100,True,random,50,0.6803219683934003,0.12746089265719585,0.6506500794785097,287.22,14.689007412875451,28.722000000000005,0.6803219683934003
employee_id,1000,False,deterministic,50,0.6132599635748193,0.11142066050330961,0.5835501215187833,0.0,0.0,0.0,0.6132599635748193
employee_id,1000,False,random,50,0.7439779321430251,0.10644066370571671,0.7279491692315787,0.0,0.0,0.0,0.7439779321430251
employee_id,1000,True,deterministic,50,0.5191199929686263,0.078932606328284,0.4866498929914087,52.66,8.975272152089966,5.266,0.5191199929686263
employee_id,1000,True,random,50,0.6736219604499638,0.052643686661881774,0.6686502019874752,53.7,7.315764359468212,5.37,0.6736219604499638
salary,1,False,deterministic,50,4.012931945617311,1.095889738768435,3.83775016234722,0.36,0.8514093957572194,0.036,4.012931945617311
salary,1,False,random,50,4.110064069391228,0.47286902529386277,4.097300072317012,0.42,1.0707616972253433,0.042,4.110064069391228
salary,1,True,deterministic,50,0.44881398091092706,0.04635127338942714,0.4367996734799817,494.48,13.507730213111458,49.448,0.44881398091092706
salary,1,True,random,50,0.6300760078011081,0.10195756654780733,0.5997497646603733,493.88,15.062644698263396,49.388,0.6300760078011081
salary,10,False,deterministic,50,4.103505970560946,0.9629900981611671,3.8457994087366387,0.26,0.5996597674804388,0.026,4.103505970560946
salary,10,False,random,50,1.1258940171683207,0.1683951816840854,1.0471502173459157,0.24,0.5910903104450629,0.024,1.1258940171683207
salary,10,True,deterministic,50,0.48301596951205283,0.11893537716330022,0.45384983241092414,493.64,17.705942735795382,49.364,0.48301596951205283
salary,10,True,random,50,0.6039280083496124,0.05458309673680358,0.590550058404915,459.08,15.094045318655763,45.908,0.6039280083496124
salary,100,False,deterministic,50,3.936354174511507,0.4707717045783561,3.8702997262589633,0.32,0.7406560798180412,0.032,3.936354174511507
salary,100,False,random,50,0.7781179953599349,0.0767328070942091,0.7559997029602528,0.3,0.6776309271789382,0.03,0.7781179953599349
salary,100,True,deterministic,50,0.48182405182160437,0.08344578459513197,0.4561499517876655,494.28,15.372968589875741,49.428,0.48182405182160437
salary,100,True,random,50,0.7744460296817124,0.39072457942665456,0.6626999966101721,288.52,26.123130730899643,28.852,0.7744460296817124
salary,1000,False,deterministic,50,3.9114299439825118,0.436718314578471,3.8360502512659878,0.46,0.838122293935579,0.046,3.9114299439825118
salary,1000,False,random,50,0.8117859193589538,0.12146160343205936,0.7715497922617942,0.26,0.63277813115286,0.026,0.8117859193589538
salary,1000,True,deterministic,50,0.45832592877559364,0.06063012933311115,0.4400001489557326,491.3,17.59435206223282,49.13,0.45832592877559364
salary,1000,True,random,50,0.7690340251429006,0.15767218340528907,0.7090501021593809,55.08,21.075026327240437,5.508,0.7690340251429006
